Epoch: 78	,Training loss (MRSE): 0.701219	,Validation loss (MRSE): 0.806035	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.218978	,Validation accuracy (MRAE): 0.138614
Epoch: 80	,Training loss (MRSE): 0.703444	,Validation loss (MRSE): 0.807152	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46213e+07	,Training accuracy (MRAE): 0.217246	,Validation accuracy (MRAE): 0.138094
Epoch: 82	,Training loss (MRSE): 0.701474	,Validation loss (MRSE): 0.806164	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46199e+07	,Training accuracy (MRAE): 0.219096	,Validation accuracy (MRAE): 0.138631
Epoch: 84	,Training loss (MRSE): 0.701735	,Validation loss (MRSE): 0.806296	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219227	,Validation accuracy (MRAE): 0.138656
Epoch: 86	,Training loss (MRSE): 0.701109	,Validation loss (MRSE): 0.80598	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46196e+07	,Training accuracy (MRAE): 0.218929	,Validation accuracy (MRAE): 0.138609
Epoch: 88	,Training loss (MRSE): 0.70111	,Validation loss (MRSE): 0.80598	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46196e+07	,Training accuracy (MRAE): 0.218929	,Validation accuracy (MRAE): 0.138609
Epoch: 90	,Training loss (MRSE): 0.701714	,Validation loss (MRSE): 0.806285	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219215	,Validation accuracy (MRAE): 0.138653
Epoch: 92	,Training loss (MRSE): 0.701596	,Validation loss (MRSE): 0.806225	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219155	,Validation accuracy (MRAE): 0.138641
Epoch: 94	,Training loss (MRSE): 0.701596	,Validation loss (MRSE): 0.806226	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219155	,Validation accuracy (MRAE): 0.138641
Epoch: 96	,Training loss (MRSE): 0.70162	,Validation loss (MRSE): 0.806238	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219167	,Validation accuracy (MRAE): 0.138643
Epoch: 98	,Training loss (MRSE): 0.701983	,Validation loss (MRSE): 0.806421	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219358	,Validation accuracy (MRAE): 0.138685
Epoch: 100	,Training loss (MRSE): 0.700892	,Validation loss (MRSE): 0.80587	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46195e+07	,Training accuracy (MRAE): 0.218838	,Validation accuracy (MRAE): 0.138603
Epoch: 102	,Training loss (MRSE): 0.702748	,Validation loss (MRSE): 0.806804	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46208e+07	,Training accuracy (MRAE): 0.218395	,Validation accuracy (MRAE): 0.138438
Epoch: 104	,Training loss (MRSE): 0.703043	,Validation loss (MRSE): 0.806951	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.4621e+07	,Training accuracy (MRAE): 0.217924	,Validation accuracy (MRAE): 0.138358
Epoch: 106	,Training loss (MRSE): 0.70206	,Validation loss (MRSE): 0.806459	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219316	,Validation accuracy (MRAE): 0.138667
Epoch: 108	,Training loss (MRSE): 0.702464	,Validation loss (MRSE): 0.806662	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46206e+07	,Training accuracy (MRAE): 0.218804	,Validation accuracy (MRAE): 0.138525
Epoch: 110	,Training loss (MRSE): 0.702965	,Validation loss (MRSE): 0.806913	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46209e+07	,Training accuracy (MRAE): 0.218051	,Validation accuracy (MRAE): 0.138378
Epoch: 112	,Training loss (MRSE): 0.702013	,Validation loss (MRSE): 0.806436	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219364	,Validation accuracy (MRAE): 0.138685
Epoch: 114	,Training loss (MRSE): 0.702038	,Validation loss (MRSE): 0.806449	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.21934	,Validation accuracy (MRAE): 0.138675
Epoch: 116	,Training loss (MRSE): 0.701232	,Validation loss (MRSE): 0.806043	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.21898	,Validation accuracy (MRAE): 0.138612
Epoch: 118	,Training loss (MRSE): 0.70209	,Validation loss (MRSE): 0.806475	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219286	,Validation accuracy (MRAE): 0.138656
Epoch: 120	,Training loss (MRSE): 0.700856	,Validation loss (MRSE): 0.805852	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46194e+07	,Training accuracy (MRAE): 0.218822	,Validation accuracy (MRAE): 0.138601
Epoch: 122	,Training loss (MRSE): 0.701373	,Validation loss (MRSE): 0.806114	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46198e+07	,Training accuracy (MRAE): 0.219043	,Validation accuracy (MRAE): 0.13862
